Ime,Znamka,Letnik,Prevoženi kilometri,Tip goriva,Tip menjalnika,Moč motorja,Cena,Prodajalec
Fiat Tipo,Fiat,2021,72362,Dizel,Ročni,131,12480,Pravna oseba
Ford S-MAX,Ford,2017,266000,Dizel,Avtomatski,179,8880,Pravna oseba
Mazda CX-5,Mazda,2021,78402,Dizel,Ročni,150,20880,Pravna oseba
Ford Tourneo,Ford,2025,25124,Dizel,Ročni,101,20480,Pravna oseba
BMW X4,BMW,2017,194000,Dizel,Avtomatski,190,21880,Pravna oseba
Mazda CX-30,Mazda,2021,114050,Bencin,Avtomatski,179,20880,Pravna oseba
BMW serija X5:,BMW,2016,210000,Dizel,Avtomatski,258,19999,Pravna oseba
BMW serija 5 Touring:,BMW,2017,360050,Dizel,Avtomatski,265,15999,Pravna oseba
KIA XCeed,KIA,2026,5000,Bencin,Avtomatski,150,Cena po dogovoru,Pravna oseba
Volkswagen Golf,Volkswagen,2021,191000,Dizel,Ročni,116,,Pravna oseba
Renault Scénic,Renault,2011,245924,Bencin,Ročni,110,2999,Pravna oseba
Škoda Kodiaq,Škoda,2022,154800,Dizel,Avtomatski,150,25990,Pravna oseba
BMW serija 3 Touring:,BMW,2020,196320,Dizel,Avtomatski,150,16995,Pravna oseba
Volkswagen ID.3,Volkswagen,,,,Avtomatski,170,34990,Pravna oseba
Volkswagen ID.3,Volkswagen,,,,Avtomatski,204,34890,Pravna oseba
Audi A4,Audi,2006,256900,Dizel,Ročni,116,1999,Pravna oseba
Škoda Kodiaq,Škoda,2022,54000,Dizel,Avtomatski,150,29490,Pravna oseba
Škoda Octavia,Škoda,2022,136000,Dizel,Avtomatski,150,18490,Pravna oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,29799,Pravna oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,37299,Pravna oseba
Audi A3,Audi,2014,279200,Dizel,Ročni,150,8990,Pravna oseba
Citroën C4 Picasso,Citroën,2010,283000,Dizel,Avtomatski,136,1700,Pravna oseba
Škoda Kodiaq,Škoda,2022,196000,Bencin,Ročni,150,17700,Pravna oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,29799,Pravna oseba
Škoda Kodiaq,Škoda,2025,44000,Dizel,Avtomatski,193,39490,Pravna oseba
Volkswagen Arteon Shooting Brake,Volkswagen,2022,194000,Dizel,Avtomatski,200,19900,Pravna oseba
Peugeot 308,Peugeot,2010,355000,Dizel,Ročni,109,1890,Pravna oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,29799,Pravna oseba
Volkswagen Taigo,Volkswagen,2022,68000,Bencin,Ročni,95,14900,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2019,209770,Dizel,Avtomatski,190,13490,Pravna oseba
BMW serija X3:,BMW,2018,198024,Dizel,Avtomatski,190,23990,Pravna oseba
Audi A6 Avant,Audi,2019,191377,Dizel,Avtomatski,204,23490,Pravna oseba
Audi A6,Audi,2019,190266,Dizel,Avtomatski,286,29990,Pravna oseba
Audi A3,Audi,2013,224436,Dizel,Avtomatski,150,7990,Pravna oseba
KIA Sportage,KIA,2026,5000,Bencin,Avtomatski,150,29799,Pravna oseba
BMW serija 3 Touring:,BMW,2015,157000,Dizel,Avtomatski,190,17990,Pravna oseba
Honda ZR-V,Honda,,,Hibrid,Avtomatski,184,35490,Pravna oseba
Renault Grand Espace,Renault,2023,64000,Hibrid,Avtomatski,131,,Pravna oseba
