Ime,Znamka,Letnik,Prevoženi kilometri,Tip goriva,Tip menjalnika,Moč motorja,Cena,Prodajalec
Peugeot 2008,Peugeot,2021,115088,Dizel,Avtomatski,131,15490,Pravna oseba
Fiat 500L,Fiat,2015,173973,Dizel,Ročni,84,5990,Pravna oseba
BMW serija 6 Gran Coupe:,BMW,2013,329123,Dizel,Avtomatski,313,16490,Pravna oseba
Peugeot 3008,Peugeot,2018,308588,Dizel,Avtomatski,120,9690,Pravna oseba
Citroën C4 Cactus,Citroën,2018,102278,Bencin,Ročni,131,7690,Pravna oseba
Ford Kuga,Ford,2022,127134,Dizel,Avtomatski,120,17490,Pravna oseba
Peugeot 3008,Peugeot,2022,121312,Dizel,Avtomatski,131,18290,Pravna oseba
Land Rover Range Rover Evoque,Land,2012,242155,Dizel,Avtomatski,150,10990,Pravna oseba
Peugeot 508,Peugeot,2022,124171,Dizel,Avtomatski,131,17690,Pravna oseba
Citroën C4,Citroën,2021,148123,Dizel,Ročni,110,12590,Pravna oseba
Peugeot Rifter,Peugeot,2020,160376,Dizel,Avtomatski,131,,Pravna oseba
Citroën C4,Citroën,2022,101012,Bencin,Avtomatski,131,13290,Pravna oseba
Citroën C4 Cactus,Citroën,2018,118280,Bencin,Ročni,110,7290,Pravna oseba
Mercedes-Benz B-Razred,Mercedes-Benz,2021,181244,Dizel,Avtomatski,150,17790,Pravna oseba
Citroën C4 SpaceTourer,Citroën,2020,119580,Dizel,Ročni,131,9990,Pravna oseba
Citroën C3 Picasso,Citroën,2011,156455,Bencin,Ročni,95,2990,Pravna oseba
Fiat Sedici,Fiat,2007,207122,Dizel,Ročni,120,3990,Pravna oseba
Citroën C4 Grand SpaceTourer,Citroën,2020,119207,Bencin,Avtomatski,131,10990,Pravna oseba
Jeep Cherokee,Jeep,2018,212018,Dizel,Avtomatski,200,10290,Pravna oseba
KIA Soul,KIA,2013,217304,Dizel,Avtomatski,128,6590,Pravna oseba
Audi A6 Avant,Audi,2016,281113,Dizel,Avtomatski,190,11990,Pravna oseba
Volkswagen Touareg,Volkswagen,2021,138380,Dizel,Avtomatski,286,38990,Pravna oseba
BMW X1,BMW,2025,16112,Bencin,Avtomatski,204,49000,Pravna oseba
KIA PV5 Passenger,KIA,2026,5852,,Avtomatski,163,45990,Pravna oseba
Mercedes-Benz B-Razred,Mercedes-Benz,2021,170530,Dizel,Avtomatski,116,17999,Pravna oseba
Škoda Superb,Škoda,2023,103448,Bencin,Avtomatski,280,31999,Pravna oseba
Volkswagen T-Roc,Volkswagen,2021,113000,Bencin,Ročni,110,16590,Pravna oseba
Audi A1,Audi,2011,215000,Dizel,Ročni,105,4999,Pravna oseba
Ford Transit Courier Furgon,Ford,,,Bencin,Ročni,101,,Pravna oseba
Audi A5 Sportback,Audi,2019,219200,Dizel,Avtomatski,150,23999,Pravna oseba
Seat Leon,Seat,2019,132000,Dizel,Ročni,116,11876,Pravna oseba
MINI Cooper,MINI,2018,66000,Bencin,Ročni,136,14999,Pravna oseba
Seat Leon,Seat,2022,115451,Dizel,Avtomatski,150,15980,Pravna oseba
Renault Twingo,Renault,,,,Avtomatski,82,23360,Pravna oseba
Toyota Avensis,Toyota,2016,403000,Dizel,Ročni,143,4999,Pravna oseba
Porsche Cayenne,Porsche,2017,240080,Dizel,Avtomatski,262,28999,Pravna oseba
Peugeot Traveller,Peugeot,2017,379730,Dizel,Ročni,150,11999,Pravna oseba
Peugeot 308,Peugeot,2015,259011,Dizel,Avtomatski,181,,Pravna oseba
Škoda Roomster,Škoda,2008,300737,Bencin,Ročni,86,1990,Pravna oseba
Audi A7,Audi,2022,112500,Dizel,Avtomatski,204,38900,Pravna oseba
BMW serija 1:,BMW,2023,85000,Dizel,Ročni,116,17366,Pravna oseba
Citroën C4 Aircross,Citroën,2015,192000,Dizel,Ročni,114,6990,Pravna oseba
Dacia Sandero,Dacia,,,Bencin,Ročni,101,13870,Pravna oseba
Ford Tourneo,Ford,2026,2990,Dizel,Avtomatski,170,,Pravna oseba
Ford B-MAX,Ford,2017,73500,Bencin,Ročni,101,6790,Pravna oseba
Geely StarRay,Geely,2024,36655,Bencin,Avtomatski,174,23990,Pravna oseba
SsangYong Musso,SsangYong,2025,39188,Dizel,Ročni,203,24990,Pravna oseba
Mercedes-Benz CLA-Razred,Mercedes-Benz,2020,137000,Dizel,Ročni,116,19897,Pravna oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2025,11337,Dizel,Avtomatski,269,58990,Pravna oseba
Mercedes-Benz CLA Shooting Brake,Mercedes-Benz,2022,81000,Bencin,Ročni,136,18977,Pravna oseba
BMW Serija 5,BMW,2018,131000,Dizel,Avtomatski,265,27990,Pravna oseba
Škoda Karoq,Škoda,2024,90900,Bencin,Avtomatski,150,23499,Pravna oseba
Nissan X-Trail,Nissan,2014,154000,Dizel,Avtomatski,131,9990,Pravna oseba
Mazda CX-30,Mazda,2022,51971,Bencin,Avtomatski,122,21299,Pravna oseba
Volkswagen Passat,Volkswagen,2021,159999,Dizel,Avtomatski,150,17399,Pravna oseba
Mazda CX-3,Mazda,2017,100000,Bencin,Ročni,120,Cena po dogovoru,Pravna oseba
KIA XCeed,KIA,2025,6400,Bencin,Avtomatski,140,23999,Pravna oseba
Škoda Scala,Škoda,2023,120515,Bencin,Ročni,110,12990,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2023,37429,Dizel,Avtomatski,163,27990,Pravna oseba
KIA Soul,KIA,2016,81254,,Avtomatski,110,8500,Pravna oseba
Hyundai Tucson,Hyundai,2022,82000,Bencin,Ročni,150,21590,Pravna oseba
Hyundai Tucson,Hyundai,2021,89300,Bencin,Ročni,150,,Pravna oseba
Hyundai Tucson,Hyundai,2021,106000,Bencin,Avtomatski,150,22990,Pravna oseba
Ford Transit Custom,Ford,,19132,Dizel,Ročni,150,36990,Pravna oseba
Hyundai Kona,Hyundai,2019,179000,Bencin,Ročni,120,10590,Pravna oseba
BMW Serija 2,BMW,2015,191840,Dizel,Avtomatski,116,8490,Pravna oseba
Fiat Tipo,Fiat,2019,152800,Bencin,Ročni,95,7590,Pravna oseba
Dacia Sandero,Dacia,2022,100596,Bencin,Ročni,91,8990,Pravna oseba
Renault Mégane,Renault,2018,45013,Bencin,Ročni,101,8990,Pravna oseba
Citroën C5 Aircross,Citroën,2021,148000,Hibrid,Avtomatski,181,15990,Pravna oseba
Changan CS75 Plus,Changan,,,Bencin,Avtomatski,181,,Pravna oseba
Changan CS75 Plus,Changan,,,Bencin,Avtomatski,181,,Pravna oseba
Hyundai i30,Hyundai,2024,44055,Bencin,Ročni,101,15990,Pravna oseba
Renault TRAFIC,Renault,2006,107000,Dizel,Ročni,101,10990,Pravna oseba
Changan CS75 Plus,Changan,,,Bencin,Avtomatski,181,,Pravna oseba
Changan CS55 Plus,Changan,,,Bencin,Avtomatski,181,,Pravna oseba
Changan CS55 Plus,Changan,,,Bencin,Avtomatski,181,,Pravna oseba
Changan CS55 Plus,Changan,,,Bencin,Avtomatski,181,,Pravna oseba
BMW serija 6 Cabrio:,BMW,2011,74000,Bencin,Avtomatski,320,,Pravna oseba
BMW Serija 3,BMW,2016,274000,Dizel,Ročni,163,5990,Pravna oseba
Mercedes-Benz S-Razred,Mercedes-Benz,2014,486879,Dizel,Avtomatski,258,,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2021,167611,Dizel,Avtomatski,116,21980,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2017,205311,Hibrid,Avtomatski,211,17480,Pravna oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2017,131000,Dizel,Avtomatski,204,24980,Pravna oseba
Volkswagen Golf Variant,Volkswagen,2019,202525,Dizel,Ročni,116,9980,Pravna oseba
KIA XCeed,KIA,2023,77000,Bencin,Avtomatski,159,19350,Pravna oseba
Peugeot 308,Peugeot,2017,170132,Bencin,Ročni,131,4980,Pravna oseba
Ford Fiesta,Ford,2016,165213,Bencin,Ročni,82,5980,Pravna oseba
Citroën C4 Grand Picasso,Citroën,2015,196969,Dizel,Ročni,150,6980,Pravna oseba
Citroën C4 Cactus,Citroën,2016,149765,Bencin,Ročni,82,4980,Pravna oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2020,186030,Dizel,Avtomatski,170,19999,Pravna oseba
Mercedes-Benz CLA Shooting Brake,Mercedes-Benz,2020,190610,Dizel,Ročni,116,14999,Pravna oseba
Hyundai Elantra,Hyundai,2013,220000,Bencin,Ročni,132,6499,Pravna oseba
BMW serija 5 Touring:,BMW,2018,231000,Dizel,Ročni,190,14999,Pravna oseba
BMW serija 1:,BMW,2022,31000,Bencin,Avtomatski,265,31999,Pravna oseba
Volvo S90,Volvo,2022,66648,Dizel,Avtomatski,235,37983,Pravna oseba
Ford C-MAX,Ford,2019,120000,Bencin,Ročni,125,8990,Fizična oseba
Škoda Superb,Škoda,2021,119800,Dizel,Avtomatski,122,16990,Pravna oseba
KIA Sportage,KIA,2025,16000,Bencin,Avtomatski,150,28650,Fizična oseba
Audi A4,Audi,2016,222000,Bencin,Ročni,150,12850,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2016,261000,Dizel,Ročni,150,7950,Pravna oseba
Audi Q3,Audi,2017,243000,Dizel,Ročni,120,11850,Pravna oseba
Audi A5 Sportback,Audi,2012,369000,Dizel,Avtomatski,136,6850,Pravna oseba
Citroën C5,Citroën,2007,245000,Dizel,Ročni,170,600,Pravna oseba
Volkswagen Caddy,Volkswagen,2025,756,Dizel,Ročni,102,Cena po dogovoru,Pravna oseba
Citroën C3,Citroën,2020,132000,Bencin,Ročni,83,7495,Fizična oseba
Citroën DS3,Citroën,2011,275800,Dizel,Ročni,92,3500,Fizična oseba
Volkswagen Golf,Volkswagen,2018,60516,Bencin,Ročni,131,17990,Fizična oseba
BMW Serija 3,BMW,2020,134000,Bencin,Avtomatski,156,22990,Fizična oseba
Ford Focus,Ford,2011,320000,Dizel,Ročni,116,3290,Fizična oseba
Audi A4,Audi,2011,190749,Dizel,Avtomatski,239,9750,Pravna oseba
Citroën C3,Citroën,2019,146400,Bencin,Ročni,83,7490,Pravna oseba
BMW Serija 3,BMW,2020,211515,Dizel,Avtomatski,190,19990,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2017,237156,Dizel,Avtomatski,116,11000,Fizična oseba
Volkswagen Passat,Volkswagen,2016,149900,Dizel,Avtomatski,150,13900,Fizična oseba
Audi e-tron,Audi,2019,241336,,,408,18900,Fizična oseba
Mercedes-Benz GLC-Razred,Mercedes-Benz,2016,261794,Dizel,Avtomatski,204,16490,Pravna oseba
Peugeot 2008,Peugeot,2014,250000,Dizel,Avtomatski,92,3500,Pravna oseba
Mazda CX-5,Mazda,2024,35000,Dizel,Avtomatski,184,36260,Fizična oseba
Hyundai Bayon,Hyundai,2025,13000,Bencin,Ročni,79,Cena po dogovoru,Pravna oseba
BMW Serija 1,BMW,2023,86000,Bencin,Avtomatski,136,19800,Pravna oseba
Hyundai Tucson,Hyundai,2015,105000,Bencin,Ročni,132,9990,Pravna oseba
Škoda Kamiq,Škoda,2022,144413,Bencin,Ročni,110,11990,Pravna oseba
Renault Koleos,Renault,2021,194043,Dizel,Avtomatski,184,16490,Pravna oseba
Opel Corsa,Opel,2022,20870,Bencin,Ročni,75,10990,Pravna oseba
Mercedes-Benz GLE-Razred,Mercedes-Benz,2020,197636,Dizel,Avtomatski,272,40990,Pravna oseba
Hyundai Tucson,Hyundai,2019,199000,Bencin,Avtomatski,177,13490,Pravna oseba
Audi Q8,Audi,2019,184845,Dizel,Avtomatski,286,40990,Pravna oseba
Ford Mustang,Ford,,90147,,Avtomatski,,31990,Pravna oseba
Audi A4,Audi,2023,143000,Dizel,Avtomatski,163,16999,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2014,338120,Dizel,Avtomatski,136,Cena po dogovoru,Pravna oseba
Citroën C3,Citroën,2018,138769,Bencin,Ročni,82,4990,Pravna oseba
Mazda CX-80,Mazda,2024,21572,Hibrid,Ročni,328,46990,Pravna oseba
BMW X3,BMW,2025,11027,Bencin,Avtomatski,381,69990,Pravna oseba
DS DS 9,DS,2023,8586,Bencin,Avtomatski,224,31990,Pravna oseba
Audi A6,Audi,2013,376000,Dizel,Avtomatski,181,6090,Fizična oseba
Volkswagen Golf,Volkswagen,2012,208137,Dizel,Ročni,105,4850,Pravna oseba
Volkswagen Passat,Volkswagen,2016,201654,Dizel,Avtomatski,150,8950,Pravna oseba
Ford Focus,Ford,2018,105000,Bencin,Ročni,349,31990,Pravna oseba
Mercedes-Benz CLS-Razred,Mercedes-Benz,2006,195000,Dizel,Avtomatski,211,7000,Fizična oseba
BMW X1,BMW,2019,173000,Dizel,Avtomatski,190,19990,Pravna oseba
Citroën C5,Citroën,2019,91874,Bencin,Ročni,131,10890,Pravna oseba
BMW M3,BMW,2023,53000,Bencin,Avtomatski,510,81990,Pravna oseba
BMW Serija 3,BMW,2013,319486,Dizel,Avtomatski,143,4980,Pravna oseba
Citroën C4,Citroën,2009,126585,Bencin,Ročni,120,Cena po dogovoru,Pravna oseba
Volkswagen Transporter,Volkswagen,2019,178140,Dizel,Ročni,102,15950,Pravna oseba
Peugeot Expert,Peugeot,2024,34,,Avtomatski,136,34148,Pravna oseba
DS DS 3 Crossback,DS,2022,74500,Bencin,Avtomatski,131,12999,Pravna oseba
Volkswagen Caddy,Volkswagen,2019,251250,Dizel,Ročni,102,14999,Pravna oseba
Volvo XC40,Volvo,2019,231000,Dizel,Avtomatski,150,14500,Pravna oseba
Volkswagen Golf,Volkswagen,2022,117000,Dizel,Ročni,116,16990,Pravna oseba
Suzuki Ignis,Suzuki,2023,54000,Bencin,Ročni,83,14490,Pravna oseba
Volkswagen T-Roc,Volkswagen,2022,145000,Dizel,Avtomatski,150,18990,Pravna oseba
Opel Mokka,Opel,2014,162420,Bencin,Ročni,140,6950,Pravna oseba
Volkswagen Sharan,Volkswagen,2020,195100,Dizel,Avtomatski,150,,Pravna oseba
Opel Zafira,Opel,2013,236299,Dizel,Ročni,110,4990,Pravna oseba
Citroën C4,Citroën,2021,66869,Bencin,Ročni,131,11990,Pravna oseba
Opel Mokka,Opel,2013,186149,Dizel,Ročni,131,7450,Pravna oseba
Volkswagen Passat,Volkswagen,2020,174216,Dizel,Avtomatski,120,,Pravna oseba
Volkswagen Golf,Volkswagen,2014,198374,Bencin,Ročni,220,13990,Pravna oseba
Volkswagen Golf,Volkswagen,2018,181402,Bencin,Avtomatski,230,,Pravna oseba
Škoda Octavia,Škoda,2015,292731,Dizel,Avtomatski,110,5990,Pravna oseba
Citroën DS3,Citroën,2011,214213,Bencin,Ročni,156,,Pravna oseba
Peugeot 5008,Peugeot,2025,21992,Dizel,Avtomatski,131,,Pravna oseba
Škoda Octavia,Škoda,2020,158160,Bencin,Ročni,110,13750,Pravna oseba
Ford Ranger,Ford,2021,124252,Dizel,Avtomatski,212,,Pravna oseba
Seat Altea XL,Seat,2015,216930,Bencin,Ročni,105,4900,Pravna oseba
Volkswagen Golf,Volkswagen,1982,86744,Bencin,Ročni,65,4990,Pravna oseba
Volkswagen Golf,Volkswagen,2022,134000,Dizel,Ročni,116,15990,Pravna oseba
Renault Clio,Renault,2011,106555,Bencin,Ročni,75,,Pravna oseba
Volkswagen Sharan,Volkswagen,2014,262116,Dizel,Ročni,177,8850,Pravna oseba
Peugeot 308,Peugeot,2023,150844,Dizel,Avtomatski,131,12990,Pravna oseba
Citroën C4,Citroën,2021,190823,Dizel,Avtomatski,131,11950,Pravna oseba
Mercedes-Benz A-Razred,Mercedes-Benz,2014,105269,Bencin,Avtomatski,360,,Pravna oseba
Volkswagen T-Roc,Volkswagen,2019,168496,Dizel,Ročni,116,,Pravna oseba
Audi Q2,Audi,2024,23036,Bencin,Ročni,110,21550,Pravna oseba
Peugeot 208,Peugeot,2016,140200,Bencin,Ročni,110,6450,Pravna oseba
Audi A4,Audi,2019,294528,Dizel,Avtomatski,150,13750,Pravna oseba
Renault Scénic,Renault,2014,197893,Dizel,Ročni,110,,Pravna oseba
Citroën C4 Cactus,Citroën,2019,149875,Bencin,Ročni,110,6450,Pravna oseba
Volkswagen Golf,Volkswagen,2013,260654,Dizel,Ročni,150,9350,Pravna oseba
Fiat Panda,Fiat,2022,119312,Bencin,Ročni,69,10850,Pravna oseba
Alfa Romeo Stelvio,Alfa,2017,178441,Dizel,Avtomatski,179,14990,Pravna oseba
Fiat Freemont,Fiat,2014,251132,Dizel,Avtomatski,170,6950,Pravna oseba
Volkswagen Passat,Volkswagen,2018,161622,Dizel,Avtomatski,150,15990,Pravna oseba
MINI Countryman,MINI,2013,192351,Bencin,Avtomatski,218,9990,Pravna oseba
Volkswagen Golf,Volkswagen,2014,242014,Dizel,Ročni,150,9450,Pravna oseba
Renault Kadjar,Renault,2017,73101,Dizel,Ročni,110,11850,Pravna oseba
Volkswagen Tiguan,Volkswagen,2014,214984,Dizel,Ročni,140,10990,Pravna oseba
Peugeot 3008,Peugeot,2012,251199,Dizel,Ročni,111,,Pravna oseba
Nissan Juke,Nissan,2011,210629,Dizel,Ročni,110,4490,Pravna oseba
Mercedes-Benz A-Razred,Mercedes-Benz,2021,188092,Dizel,Avtomatski,116,17450,Pravna oseba
Škoda Scala,Škoda,2022,168230,Bencin,Ročni,110,12850,Pravna oseba
Škoda Karoq,Škoda,2021,168490,Bencin,Ročni,110,13990,Pravna oseba
Renault Mégane,Renault,2014,158265,Bencin,Ročni,116,4990,Pravna oseba
Hyundai i30 Fastback,Hyundai,2019,62543,Bencin,Ročni,275,21950,Pravna oseba
Renault Clio,Renault,2026,133,Bencin,Avtomatski,109,23990,Pravna oseba
Ford Fiesta,Ford,2019,126804,Dizel,Ročni,86,7999,Pravna oseba
Opel Mokka,Opel,2016,106989,Dizel,Ročni,136,8450,Pravna oseba
Volkswagen Passat,Volkswagen,2020,265069,Dizel,Avtomatski,190,10950,Pravna oseba
Dacia Sandero,Dacia,2019,73441,Bencin,Ročni,90,7990,Pravna oseba
KIA Ceed,KIA,2015,202897,Dizel,Ročni,128,5690,Pravna oseba
Peugeot 308,Peugeot,2022,159423,Bencin,Ročni,110,9990,Pravna oseba
Audi A6,Audi,2013,295797,Dizel,Ročni,204,8850,Pravna oseba
Fiat Punto,Fiat,2008,279441,Bencin,Ročni,75,1299,Pravna oseba
Renault Scénic,Renault,2014,290894,Dizel,Ročni,131,3990,Pravna oseba
Audi Q2,Audi,2017,180121,Dizel,Avtomatski,150,,Pravna oseba
Renault Captur,Renault,2021,146124,Dizel,Ročni,95,,Pravna oseba
BMW Serija 3,BMW,2017,255773,Dizel,Avtomatski,136,,Pravna oseba
Škoda Octavia,Škoda,2017,286835,Dizel,Ročni,90,,Pravna oseba
Volkswagen Golf,Volkswagen,2016,209848,Dizel,Ročni,110,10950,Pravna oseba
Renault Twingo,Renault,2017,83897,Bencin,Ročni,69,5950,Pravna oseba
Volkswagen Touran,Volkswagen,2016,266538,Dizel,Ročni,110,8450,Pravna oseba
Audi A4,Audi,2023,89990,Dizel,Avtomatski,204,,Pravna oseba
Renault Captur,Renault,2018,99242,Bencin,Ročni,90,9990,Pravna oseba
Volkswagen Arteon Shooting Brake,Volkswagen,2023,82184,Dizel,Avtomatski,150,25780,Pravna oseba
BMW Serija 5,BMW,2014,299855,Dizel,Ročni,190,8450,Pravna oseba
BMW Serija 1,BMW,2019,231553,Bencin,Ročni,109,,Pravna oseba
Audi A3,Audi,2013,320885,Dizel,Ročni,105,6450,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2022,21628,Bencin,Avtomatski,258,,Pravna oseba
Škoda Octavia,Škoda,2018,141978,Dizel,Avtomatski,150,13250,Pravna oseba
Toyota Avensis,Toyota,2016,215089,Dizel,Ročni,111,7790,Pravna oseba
Ford C-MAX,Ford,2015,276524,Dizel,Avtomatski,116,3990,Pravna oseba
Renault Laguna,Renault,2006,258680,Dizel,Ročni,120,,Pravna oseba
Suzuki Jimny,Suzuki,2017,141222,Bencin,Ročni,86,,Pravna oseba
Mercedes-Benz A-Razred,Mercedes-Benz,2021,113053,Dizel,Avtomatski,116,19990,Pravna oseba
Mercedes-Benz A-Razred,Mercedes-Benz,2022,47565,Bencin,Avtomatski,163,24850,Pravna oseba
Dacia Duster,Dacia,2013,299522,Dizel,Ročni,110,4990,Pravna oseba
Opel Zafira,Opel,2012,299588,Dizel,Ročni,125,2350,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2021,138598,Dizel,Avtomatski,116,,Pravna oseba
BMW Serija 3,BMW,2013,319486,Dizel,Avtomatski,143,4980,Pravna oseba
KIA Sportage,KIA,2020,198000,Dizel,Ročni,116,11850,Pravna oseba
Volkswagen Transporter,Volkswagen,2007,311378,Dizel,Avtomatski,131,3990,Pravna oseba
Opel Movano,Opel,2024,45554,Dizel,Ročni,140,24990,Pravna oseba
Volkswagen Tiguan,Volkswagen,2018,169000,Bencin,Ročni,125,15898,Pravna oseba
Volkswagen Caddy,Volkswagen,2017,184700,Dizel,Avtomatski,150,13990,Pravna oseba
Mercedes-Benz E-Razred,Mercedes-Benz,2025,12216,Hibrid,Avtomatski,585,83990,Pravna oseba
Volkswagen Passat,Volkswagen,2015,308000,Dizel,Avtomatski,150,9990,Pravna oseba
BMW serija 2 Gran Tourer:,BMW,2017,290000,Dizel,Ročni,116,5999,Pravna oseba
BMW serija 1:,BMW,2020,99930,Bencin,Avtomatski,306,31999,Pravna oseba
BMW serija 1:,BMW,2016,240045,Dizel,Ročni,116,9999,Pravna oseba
Renault Scénic,Renault,2010,266590,Dizel,Ročni,106,,Pravna oseba
Mercedes-Benz B-Razred,Mercedes-Benz,2021,108400,Dizel,Avtomatski,116,19599,Pravna oseba
Audi A4 Avant,Audi,2016,250920,Dizel,Avtomatski,190,15999,Pravna oseba
BMW Serija 3,BMW,2025,11885,Bencin,Avtomatski,245,49990,Pravna oseba
Škoda Octavia,Škoda,2023,112610,Dizel,Avtomatski,150,18980,Pravna oseba
Audi Q7,Audi,2020,179899,Hibrid,Avtomatski,340,,Pravna oseba
Fiat 500,Fiat,2023,19030,Bencin,Ročni,69,,Pravna oseba
BMW serija X1:,BMW,2022,149900,Dizel,Ročni,116,16588,Pravna oseba
Volkswagen Tiguan,Volkswagen,2020,150000,Dizel,Avtomatski,150,17500,Pravna oseba
SsangYong Tivoli,SsangYong,2020,1,Bencin,Ročni,163,Cena po dogovoru,Pravna oseba
Volkswagen Sharan,Volkswagen,2006,336626,Dizel,Ročni,140,1349,Pravna oseba
KIA XCeed,KIA,2025,10692,Bencin,Ročni,140,22490,Pravna oseba
BMW Serija 3,BMW,2021,92121,Hibrid,Avtomatski,163,21900,Pravna oseba
Škoda Octavia,Škoda,2017,238000,Dizel,Ročni,116,9850,Pravna oseba
Volkswagen Tiguan,Volkswagen,2014,192000,Dizel,Ročni,110,9850,Pravna oseba
Audi A5,Audi,2021,159456,Bencin,Avtomatski,150,21900,Pravna oseba
Volkswagen Arteon,Volkswagen,2019,218000,Dizel,Avtomatski,150,17850,Pravna oseba
Volkswagen Arteon,Volkswagen,2018,198000,Dizel,Avtomatski,150,20850,Pravna oseba
Opel Mokka,Opel,2016,160000,Dizel,Ročni,110,7950,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2019,209000,Dizel,Avtomatski,194,16950,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2018,256000,Dizel,Avtomatski,204,16950,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2021,144418,Dizel,Avtomatski,150,23990,Pravna oseba
Volkswagen Passat Variant,Volkswagen,2011,230949,Dizel,Ročni,105,4999,Pravna oseba
BMW Serija 2,BMW,2023,152241,Dizel,Avtomatski,150,18750,Pravna oseba
Volkswagen T-Roc,Volkswagen,2022,31298,Bencin,Avtomatski,150,23500,Pravna oseba
Citroën C3 Aircross,Citroën,2024,27325,Bencin,Ročni,110,,Pravna oseba
Volvo XC60,Volvo,2016,249000,Dizel,Avtomatski,190,11500,Pravna oseba
Ford Mondeo,Ford,2015,229000,Dizel,Avtomatski,150,4500,Pravna oseba
Citroën C5 Aircross,Citroën,2022,124000,Dizel,Avtomatski,131,13999,Pravna oseba
Seat Arona,Seat,2022,138795,Bencin,Ročni,110,11495,Pravna oseba
Renault Clio,Renault,2021,147000,Bencin,Ročni,91,8980,Pravna oseba
BMW X1,BMW,2021,155000,Dizel,Avtomatski,150,17300,Pravna oseba
BMW Serija 3,BMW,2022,150000,Dizel,Avtomatski,190,17999,Pravna oseba
BMW Serija 3,BMW,2022,122000,Dizel,Avtomatski,150,18500,Pravna oseba
Mercedes-Benz CLA-Razred,Mercedes-Benz,2018,245000,Dizel,Avtomatski,177,11500,Pravna oseba
Volkswagen Passat,Volkswagen,2020,178000,Dizel,Avtomatski,150,14590,Pravna oseba
Mercedes-Benz GLB-Razred,Mercedes-Benz,2022,139500,Dizel,Avtomatski,150,26999,Pravna oseba
Hyundai i30,Hyundai,2021,44755,Bencin,Ročni,280,27490,Pravna oseba
Škoda Superb,Škoda,2016,282000,Dizel,Avtomatski,150,11990,Pravna oseba
Ford Fiesta,Ford,2009,177000,Bencin,Ročni,82,2750,Pravna oseba
Mazda Mazda3,Mazda,2021,66035,Bencin,Avtomatski,122,18499,Pravna oseba
Škoda Karoq,Škoda,2022,114400,Bencin,Avtomatski,150,18899,Pravna oseba
Škoda Superb,Škoda,2022,150000,Dizel,Avtomatski,150,21499,Pravna oseba
Changan CS75 Plus,Changan,,,Bencin,Avtomatski,181,,Pravna oseba
Mazda CX-30,Mazda,2021,85751,Bencin,Avtomatski,122,,Pravna oseba
Volvo XC40,Volvo,2022,66293,Bencin,Avtomatski,163,25699,Pravna oseba
Ford S-MAX,Ford,2020,149347,Dizel,Avtomatski,150,15999,Pravna oseba
Volvo XC40,Volvo,2020,113738,Dizel,Ročni,150,,Pravna oseba
Volkswagen Arteon,Volkswagen,2021,122336,Dizel,Avtomatski,150,,Pravna oseba
Hyundai Tucson,Hyundai,2023,108690,Dizel,Avtomatski,136,21199,Pravna oseba
Hyundai Tucson,Hyundai,2021,117010,Dizel,Avtomatski,136,,Pravna oseba
Volvo V60,Volvo,2021,118661,Dizel,Avtomatski,197,20699,Pravna oseba
Hyundai Tucson,Hyundai,2022,85390,Dizel,Avtomatski,136,26199,Pravna oseba
Peugeot 5008,Peugeot,2020,146396,Dizel,Avtomatski,177,,Pravna oseba
Volvo XC60,Volvo,2023,83900,Dizel,Avtomatski,197,37499,Pravna oseba
Volvo XC60,Volvo,2022,56087,Dizel,Avtomatski,197,38999,Pravna oseba
Volvo V60,Volvo,2021,118254,Dizel,Ročni,150,18699,Pravna oseba
Mercedes-Benz C-Razred,Mercedes-Benz,2019,111700,Dizel,Avtomatski,122,21999,Pravna oseba
Škoda Superb,Škoda,2022,110480,Dizel,Avtomatski,200,25199,Pravna oseba
Škoda Octavia,Škoda,2021,126259,Dizel,Avtomatski,150,19999,Pravna oseba
BMW Serija 2,BMW,2015,175163,Dizel,Avtomatski,150,,Pravna oseba
Suzuki Vitara,Suzuki,2023,72584,Bencin,Ročni,129,,Pravna oseba
KIA Sportage,KIA,2022,114815,Dizel,Avtomatski,136,,Pravna oseba
Volkswagen Passat,Volkswagen,2020,143654,Dizel,Ročni,150,16599,Pravna oseba
Volkswagen Arteon,Volkswagen,2021,125000,Dizel,Avtomatski,150,,Pravna oseba
Škoda Superb,Škoda,2021,157874,Dizel,Avtomatski,200,,Pravna oseba
Opel Insignia,Opel,2020,87072,Dizel,Ročni,122,,Pravna oseba
Renault Espace,Renault,2023,143162,Dizel,Avtomatski,160,21999,Pravna oseba
